ID,Pre_Treatmen.type,Pre_Date,Pre_P1,Pre_P3,Pre_P4,Pre_Pre,Pre_P5,Pre_P6,Pre_P7,Pre_P9,Post_Date,Post_P1,Post_P3,Post_P4,Post_P5,Post_P6,Post_P7,Post_P9,P2,income,spendings,Pre_Answers,Post_Answers
1,C,4/3/2019,1,7,2,0.130503789,1,1,7,1,4/23/2019,1,7,2,1,2,7,1,4/23/2000,407.8580514,253.9586791,6,12
2,C,4/3/2019,1,100,1,0.087488977,3,2,6,3,4/23/2019,1,8,1,3,2,6,5,5/5/2002,390.0476814,233.7717102,1,6
3,C,4/3/2019,1,9,1,0.802645493,1,1w,3,1,4/23/2019,1,9,1,1,1,3,1,11/15/2001,402.2571596,248.5423451,3,10
4,C,4/3/2019,1,9,1,0.534068635,2,2,3,1,4/23/2019,1,9,1,2,2,3,1,1/7/2002,398.1848421,242.2722815,3,11
5,C,4/3/2019,1,7,2,0.819014363,2,2,5,2,4/23/2019,1,7,2,2,2,5,2,8/21/2000,397.3437505,245.9658372,7,11
6,C,4/3/2019,1,9,1,0.086155485,2,2,6,2,4/23/2019,1,9,1,2,2,6,3,11/13/2000,405.0080397,252.898366,-6,8
7,C,4/3/2019,2,9,1,0.213824139,2,2,5,1,4/23/2019,2,9,1,2,3,5,1,12/17/2001,389.5407366,229.9194486,4,10
8,C,4/3/2019,2,99,100,0.341465905,1,1,5,1,4/23/2019,2,6,3,1,1,5,2,12/10/2002,393.4723668,243.7329846,3,13
9,C,4/3/2019,2,7,2,0.346514021,3,3,3,1,4/23/2019,2,7,2,2,2,3,1,6/21/2002,408.041492,255.04943,8,4
10,C,4/3/2019,1,7,2,0.590825824,3,2,4,1,4/23/2019,1,7,2,3,2,4,1,3/3/2000,411.6321123,269.0344839,6,15
11,C,4/3/2019,1,7,2,0.27130897,1,1,5,1,4/23/2019,1,7,2,2,2,5,1,9/5/2002,400.0117525,238.1600501,5,12
12,C,4/3/2019,1,8,1,0.934599612,1,2,3,1,4/23/2019,1,8,1,1,2,3,1,12/31/2001,408.5821453,261.0270548,3,8
13,C,4/3/2019,1,99,2,0.496472105,2,2w,5,1,4/23/2019,1,6,2,2,2,5,1,10/15/2001,397.5697012,256.9382977,7,8
14,C,4/3/2019,2,7,2,0.577713755,2,3,7,1,4/23/2019,2,7,2,2,3,7,1,9/30/2002,402.2146501,268.3123727,6,8
15,C,4/3/2019,1,9,1,0.721248404,3,2,5,1,4/23/2019,1,9,1,3,2,5,1,6/28/2002,400.4736485,262.6524591,7,13
16,C,4/3/2019,1,9,1,0.35992399,3,2,4,2,4/23/2019,1,9,1,3,2,4,2,6/1/2002,398.5884048,244.6115668,2,10
17,C,4/3/2019,1,9,1,0.100944881,3,3,6,1,4/23/2019,1,9,1,3,3,6,1,9/7/2001,402.9687125,243.6018536,5,13
18,C,4/3/2019,1,9,1,0.857247572,2,2,6,1,4/23/2019,1,9,1,2,2,5,2,8/11/2002,400.5019219,257.6452207,7,6
19,C,4/3/2019,1,9,1,0.788874115,3,2,7,2,4/23/2019,1,9,1,3,2,7,2,1/4/2002,411.4947875,273.8282837,4,11
20,C,4/3/2019,1,99,99,0.884945252,2,1,6,1,4/23/2019,1,9,1,2,1,6,1,12/18/2002,399.689715,260.9568952,5,10
21,C,4/3/2019,1,6,2,0.581451912,2,2,4,1,4/23/2019,1,6,2,2,2,6,1,10/25/2000,406.4534686,250.0853385,5,9
22,C,4/3/2019,1,8,2,0.917924275,2,2,7,4,4/23/2019,1,8,2,2,2,7,4,11/30/2000,397.4069734,255.0900309,3,8
23,C,4/3/2019,1,9,1,0.337777026,2,3,5,2,4/23/2019,1,9,1,2,3,5,2,10/3/2001,400.9488183,248.1681704,6,11
24,C,4/3/2019,1,99,2,0.831075347,99,99,6,5,4/23/2019,1,6,2,1,1,7,5,8/26/2000,398.7412658,240.0734781,2,9
25,C,4/3/2019,2,7,2,0.880009275,2,2,6,2,4/23/2019,2,7,2,2,2,6,2,8/5/2001,392.5114315,245.5565043,5,11
26,C,4/3/2019,1,8,2,0.30797665,2,2,6,1,4/23/2019,1,8,2,2,2,6,1,11/23/2001,402.9979512,252.3764539,3,5
27,C,4/3/2019,1,8,2,0.623102454,3,100,99,3,4/23/2019,1,7,2,2,2,6,2,NA,403.4449146,256.5850296,7,10
28,C,4/3/2019,1,8,1,0.216490635,3,2,5,1,4/23/2019,1,9,1,3,2,5,2,7/20/2001,397.5296161,243.1508567,4,9
29,C,4/3/2019,2,7,2,0.985269515,3,1,6,1,4/23/2019,2,7,2,3,1,6,1,2/11/2001,396.3022379,242.1903113,5,14
30,C,4/3/2019,2,7,2,0.01394647,1,2,4,1,4/23/2019,2,7,2,1,2,4,2,11/26/2003,397.0645059,236.3519404,5,6
31,C,4/3/2019,2,7,2,0.441713362,2,3,5,1,4/23/2019,2,7,2,2,3,5,1,11/2/2002,403.5935704,265.8732479,5,8
32,C,4/3/2019,2,6,3,0.171367812,1,2,4,1,4/23/2019,2,6,3,1,2,4,2,11/19/2001,397.7604637,253.1216185,4,12
33,C,4/3/2019,2,8,2,0.053178207,3,3,6,9,4/23/2019,2,8,2,3,3,8,9,8/25/2002,401.2367233,247.3437796,6,11
34,C,4/3/2019,1,5,3,0.803759904,1,1,5,2,4/23/2019,1,6,2,1,1,5,2,5/8/2002,400.0312372,261.225677,5,9
35,C,4/3/2019,1,9,1,0.466134163,3,3,4,1,4/23/2019,1,9,1,3,3,4,1,4/3/2000,399.2440232,248.3357133,4,9
36,C,4/3/2019,1,6,2,0.661784547,2,2,4,4,4/23/2019,1,99,2,2,2,4,5,11/12/2001,393.6888492,247.932599,5,7
37,C,4/3/2019,1,8,1,0.019204114,1,1,4,1,4/23/2019,1,9,1,2,2,4,2,6/1/2001,402.7343939,257.4827666,6,7
38,C,4/3/2019,2,9,2,0.54204778,3,3,4,1,4/23/2019,2,9,2,3,3,4,1,1/23/2002,399.0635315,253.0486699,2,12
39,C,4/3/2019,1,8,2,0.354259536,2,3,6,1,4/23/2019,1,8,2,2,3,7,2,5/18/2001,401.2413225,248.3284109,7,10
40,T2,4/29/2019,1,7,1,0.172526155,1,1,6,2,5/15/2019,1,8,1,1,1,6,2,NA,395.1917355,238.5562996,6,10
41,T2,4/29/2019,1,8,1,0.408126013,1,1,5,1,5/15/2019,1,8,1,1,1,5,1,6/4/2002,402.8293413,236.0435049,-5,9
42,T2,4/29/2019,1,8,1,0.587706147,2,2,4,1,5/15/2019,1,8,1,2,2,4,1,12/7/2001,398.3533547,249.5073517,3,9
43,T2,4/29/2019,1,9,1,0.501207066,2,1,7,1,5/15/2019,1,9,1,2,1,7,1,11/13/2001,396.6358476,229.9685075,7,11
44,T2,4/29/2019,1,9,1,0.516598699,2,,5,1,5/15/2019,1,9,1,2,2,5,1,12/13/2002,390.3314953,246.6918925,6,11
45,T2,4/29/2019,1,7,99,0.813465951,3,1,2,2,5/15/2019,1,6,99,3,1,2,2,6/8/2003,398.4633316,235.0960902,4,12
46,T2,4/29/2019,1,9,1,0.515711823,2,3,5,3,5/15/2019,1,9,1,2,3,5,3,11/21/2002,388.7879696,244.3334099,5,10
47,T2,4/29/2019,1,8,3,0.780125178,2,3,9,3,5/15/2019,1,8,1,2,3,9,3,1/20/2002,398.0149073,248.7038371,3,8
48,T2,4/29/2019,2,6,2,0.136356839,1,2,100,100,5/15/2019,2,7,2,1,2,99,5,12/1/2002,401.2784946,234.4362229,4,11
49,T2,4/29/2019,2,6,2,0.248062299,2,1,4,3,5/15/2019,2,7,2,2,2,4,3,12/4/2001,400.1862784,243.803635,3,9
50,T2,4/29/2019,2,6,2,0.817777125,3,1,100,2,5/15/2019,2,5,3,3,1,5,2,7/20/2002,394.3303837,245.6864059,1,11
51,T2,4/29/2019,2,9,1,0.295104691,3,3,4,2,5/15/2019,2,9,1,3,3,4,3,8/9/2002,404.8890215,261.426572,4,13
52,T2,4/29/2019,1,8,1,0.100498728,3,99,5,1,5/15/2019,1,8,1,3,2,5,1,4/11/2002,405.4070346,250.9847068,8,8
53,T2,4/29/2019,1,8,2,0.645074244,2,3,2,3,5/15/2019,1,8,2,2,3,2,4,2/25/2003,400.7469036,257.8542341,2,10
54,T2,4/29/2019,2,7,2,0.917152964,3,2,3,1,5/15/2019,2,7,2,3,2,3,1,8/24/2002,402.1352863,258.5788883,5,8
55,T2,4/29/2019,2,7,2,0.540437642,2,2,5,1,5/15/2019,2,7,2,2,2,5,1,12/11/2001,405.6425068,245.178008,2,9
56,T2,4/29/2019,1,9,1,0.542469913,2,2,5,1,5/15/2019,1,9,1,2,2,5,1,3/5/2002,399.3684478,258.5642702,6,12
57,T2,4/29/2019,1,8,1,0.9233538,2,3,3,6,5/15/2019,1,9,1,2,3,3,6,9/20/2002,395.6821202,257.0276857,2,7
58,T2,4/29/2019,2,7,2,0.062376621,3,2,4,1,5/15/2019,2,7,2,3,2,4,1,10/6/2002,398.7741654,241.2890732,4,9
59,T2,4/29/2019,2,10,99,0.929904818,99,99,6,99,5/15/2019,2,8,1,3,2,6,0,7/3/2002,398.9063428,247.0509253,6,8
60,T2,4/29/2019,1,8,2,0.390952674,1,2,5,1,5/15/2019,1,8,2,2,2,5,1,11/18/2002,403.6285491,258.3695083,4,8
61,T2,4/29/2019,1,7,2,0.670886887,1,2,4,2,5/15/2019,1,7,2,1,2,4,2,6/22/2002,403.9762969,252.3484998,6,10
62,T2,4/29/2019,2,100,100,0.011812302,100,100,100,100,5/15/2019,2,7,2,3,2,5,4,9/28/2002,394.824861,238.7172618,7,7
63,T2,4/29/2019,2,6,3,0.083586207,100,100,6,2,5/15/2019,2,5,99,99,100,99,2,10/6/2001,395.8037571,237.2103773,4,10
64,T2,4/29/2019,1,9,1,0.768098977,2,2,4,2,5/15/2019,1,9,1,2,3,4,2,11/1/2002,405.3073114,267.533207,3,12
65,T2,4/29/2019,1,8,2,0.322889306,1,1,5,1,5/15/2019,1,8,100,1,1,5,1,6/12/2002,393.6233659,250.0232207,6,12
66,T2,4/29/2019,1,8,2,0.920926801,3,2,3,1,5/15/2019,1,8,2,3,2,3,1,2/9/2002,396.7410014,245.5232378,8,6
67,T2,4/29/2019,1,7,2,0.900702481,3,1,3,1,5/15/2019,1,7,2,3,1,3,2,12/12/2002,400.2057738,244.074894,4,10
68,T2,4/29/2019,1,7,2,0.993224548,2,2,5,1,5/15/2019,1,7,2,3,3,5,2,11/6/2001,404.5321844,249.3144283,6,14
69,T2,4/29/2019,1,8,2,0.048833658,2,3,4,1,5/15/2019,1,8,1,2,3,4,1,9/22/2002,399.6233705,253.1269115,5,14
70,T2,4/29/2019,1,9,1,0.555397798,2,2,5,3,5/15/2019,1,9,1,2,2,5,3,5/1/2002,401.5728248,260.4263172,4,13
71,T2,4/29/2019,1,8,2,0.78762844,3,2,6,3,5/15/2019,1,8,1,2,2,6,4,11/13/2002,400.5820853,256.3454493,3,12
72,T2,4/29/2019,1,8,1,0.797023848,3,3,3,1,5/15/2019,1,8,1,1,3,3,1,6/10/2002,404.0791352,270.7198245,6,11
73,T2,4/29/2019,1,9,1,0.741546257,2,2,6,1,5/15/2019,1,9,1,2,2,6,1,8/22/2002,398.1118795,246.4258575,5,17
74,T2,4/29/2019,1,9,1,0.831717792,2,2,6,2,5/15/2019,1,9,1,2,2,6,2,8/23/2002,402.0687627,252.8220773,8,12
75,T2,4/29/2019,1,9,2,0.977963433,3,2,4,1,5/15/2019,1,9,2,3,2,4,1,6/27/2002,391.6537253,250.8961439,5,10
76,T2,4/29/2019,1,7,2,0.547717534,3,1,5,1,5/15/2019,1,8,2,3,2,5,1,8/16/2001,400.252525,264.1484257,2,13
77,T2,4/29/2019,1,7,2,0.548875178,2,2,3,2,5/15/2019,1,8,2,2,2,2,2,4/25/2002,401.6319874,225.3182453,2,12
78,T2,4/29/2019,1,8,2,0.99715706,3,3,6,2,5/15/2019,1,8,2,3,3,6,3,4/12/2003,400.8394163,247.2782495,5,10
79,T2,4/29/2019,2,99,99,0.861650733,99,99,3,0,5/15/2019,2,99,99,99,NA,3,0,3/4/2002,400.9753108,248.1119753,7,11
80,T2,4/29/2019,2,8,1,0.458603175,3,3,4,1,5/15/2019,2,100,1,3,3,4,4,1/4/2002,400.5505977,256.8122729,6,9
81,T2,4/29/2019,1,8,1,0.607515071,3,2,4,3,5/15/2019,1,8,1,3,2,4,3,9/24/2002,403.3724846,253.4258142,1,11
82,T2,4/29/2019,1,8,1,0.770815936,2,2,5,1,5/15/2019,1,8,1,2,2,5,1,9/19/2002,387.3639723,233.1806405,2,7
169,T1,4/1/2019,1,8,2,0.605030599,3,2,5,3,4/19/2019,1,8,2,3,2,5,3,1/13/2002,400.3566845,263.8898325,4,10
170,T1,4/1/2019,1,99,2,0.499497138,2,2,6,2,4/19/2019,1,99,2,1,2,6,3,2/15/2002,401.9991538,266.4828375,9,11
171,T1,4/1/2019,1,8,1,0.737995432,1,1,4,0,4/22/2019,1,8,1,1,1,4,1,1/25/2000,398.2007132,237.6075042,4,9
172,T1,4/1/2019,1,7,2,0.030372438,3,2,5,1,4/19/2019,1,8,2,3,2,5,1,3/13/2001,404.3742285,268.8085903,2,11
173,T1,4/1/2019,2,7,2,0.405155437,1,3,6,2,4/19/2019,2,7,2,2,3,6,2,6/5/2001,405.4821138,242.353479,9,7
174,T1,4/1/2019,2,8,2,0.27279532,2,1,4,2,4/19/2019,2,8,2,3,2,5,3,12/13/2002,392.4140805,255.9696947,6,7
175,T1,4/1/2019,2,7,2,0.98567918,3,3,4,2,4/19/2019,2,7,2,3,3,4,2,6/20/2002,400.8431493,237.3587074,5,7
176,T1,4/1/2019,2,7,2,0.839360597,3,3,4,1,4/19/2019,2,7,2,3,3,4,2,1/4/2002,404.1734941,259.5965609,7,12
177,T1,4/1/2019,2,9,1,0.172251556,3,1,3,2,4/19/2019,2,9,1,3,1,3,2,8/16/2002,407.9592956,253.2892895,8,7
178,T1,4/1/2019,1,99,2,0.848450123,2,2,3,1,4/19/2019,1,99,2,2,2,2,1,10/20/2002,392.2006797,253.7938589,3,8
179,T1,4/1/2019,2,7,2,0.42780242,2,2,4,1,4/19/2019,2,2,2,3,3,5,5,5/13/2002,403.7827832,257.1508063,3,12
180,T1,4/1/2019,1,9,1,0.218543716,2,3,4,2,4/19/2019,1,9,1,2,3,4,2,9/6/2002,398.3960055,252.9602579,5,11
181,T1,4/1/2019,2,7,2,0.08853791,1,2,3,4,4/19/2019,2,8,2,1,3,3,4,4/16/2002,394.0860031,255.3689241,7,13
182,T1,4/1/2019,1,8,2,0.637157433,3,99,6,2,4/19/2019,1,8,2,3,1,6,2,8/15/2002,399.2254411,246.197854,8,10
183,T1,4/1/2019,2,6,2,0.13524877,1,1,4,1,4/19/2019,2,6,2,1,1,4,1,9/26/2002,399.1126867,247.9390058,1,13
184,T1,4/1/2019,2,7,2,0.428807691,2,2,4,1,4/19/2019,2,7,2,2,2,4,1,9/24/2002,396.6470367,257.8112036,1,11
185,T1,4/1/2019,2,8,1,0.000348299,3,3,6,3,4/19/2019,2,8,1,3,3,6,3,4/6/2002,396.3304001,265.6830427,4,10
186,T1,4/1/2019,1,9,1,0.415780908,3,3,6,1,4/19/2019,1,9,1,3,3,6,1,8/14/2002,396.0189157,243.2903858,5,13
187,T1,4/1/2019,1,7,99,0.803039507,2,2,8,2,4/19/2019,1,8,1,2,3,8,4,9/15/2002,406.495505,270.9462897,4,8
188,T1,4/1/2019,2,8,2,0.905763253,3,3,5,3,4/19/2019,2,99,2,3,3,5,2,1/26/2002,402.2864122,248.1815939,3,10
189,T1,4/1/2019,2,7,1,0.608061955,1,1,3,3,4/19/2019,2,99,2,99,3,4,1,4/12/2002,404.7572115,248.8450742,7,14
190,T1,4/1/2019,1,9,1,0.494527775,2,3,5,3,4/22/2019,1,9,1,2,3,5,3,8/10/2002,391.1658249,249.1747775,6,8
191,T1,4/1/2019,2,9,1,0.001936194,2,2,3,1,4/19/2019,2,9,1,2,2,3,1,2/11/2002,405.6487556,251.7394664,7,9
192,T1,4/1/2019,2,10,1,0.592428441,3,3,5,2,4/22/2019,2,10,1,3,3,5,3,4/20/2002,401.9486703,241.1655386,2,11
193,T1,4/1/2019,2,7,99,0.348252052,1,2,5,1,4/19/2019,2,7,2,1,2,5,1,9/18/2002,407.0406673,247.4352616,6,15
194,T1,4/1/2019,1,9,1,0.506504485,3,3,5,3,4/19/2019,1,9,1,3,3,5,3,11/15/2002,399.3253991,260.4551893,8,9
195,T1,4/1/2019,2,4,3,0.981128061,3,2,4,1,4/19/2019,2,7,1,1,3,4,1,1/11/2002,395.6252485,244.4973934,7,16
196,T1,4/1/2019,2,100,1,0.538277865,1,100,6,6,4/19/2019,2,6,2,1,2,6,6,4/12/2002,399.9230523,246.4785231,4,8
197,T1,4/1/2019,2,8,2,0.267357716,3,2,5,1,4/19/2019,2,7,2,3,2,5,2,10/27/2002,397.5460089,263.257293,3,6
198,T1,4/1/2019,2,9,1,0.571084912,2,2,3,2,4/19/2019,2,9,1,2,2,3,2,1/18/2001,405.9342581,235.6147329,6,9
199,T1,4/1/2019,2,7,2,0.896225735,1,2,5,2,4/19/2019,2,7,2,1,2,5,2,4/19/2002,401.8149859,251.2259664,4,9
200,T1,4/1/2019,2,7,2,0.237387555,3,3,4,4,4/19/2019,2,9,2,3,3,4,4,8/12/2002,390.0609365,226.2017911,6,9
201,T1,4/1/2019,2,9,1,0.471691918,3,3,5,3,4/19/2019,2,9,1,3,3,5,3,5/18/2002,390.5503537,233.7695631,3,6
202,T1,4/1/2019,2,7,2,0.334762959,3,3,3,3,4/19/2019,2,8,2,3,3,3,4,5/14/2002,400.1108295,260.4676244,5,10
203,T1,4/1/2019,2,9,1,0.338141009,1,2,6,1,4/19/2019,2,9,1,1,2,5,1,1/7/2001,405.2095627,268.7869635,2,10
204,T1,2/25/2019,1,9,1,0.597817993,3,3,5,2,3/18/2019,1,9,1,3,3,5,3,7/12/2001,402.4401143,255.8883343,4,16
205,T1,2/25/2019,1,98,98,0.715548174,3,3,5,2,3/18/2019,1,99,100,3,3,5,3,1/25/2001,392.8886932,252.1065561,7,11
431,T1,4/8/2019,2,8,2,0.402436997,2,3,5,4,5/2/2019,2,7,2,2,3,4,5,4/6/2001,410.896164,266.544046,4,10
432,T1,4/8/2019,2,9,99,0.525545384,99,99,99,99,5/2/2019,2,99,3,3,2,7,99,8/21/2001,401.1536536,252.7761936,4,10
433,T1,4/8/2019,2,8,99,0.43477361,3,3,3,1,4/26/2019,2,8,3,3,3,3,4,1/11/2002,403.4390541,248.4232675,6,10
434,T1,4/8/2019,2,99,99,0.286977269,99,99,4,3,4/26/2019,2,99,3,1,2,4,3,9/10/2001,400.8801804,247.1679686,8,10
435,T1,4/8/2019,2,99,3,0.905782023,3,3,5,1,4/26/2019,2,5,3,3,3,5,2,6/25/2001,396.4761073,247.7560528,10,9
436,T2,3/19/2019,1,99,99,0.575799436,99,3,99,99,4/12/2019,1,8,1,2,3,4,99,3/3/2001,409.260264,267.9888368,7,7
437,T2,3/19/2019,1,9,2,0.398509994,3,3,5,1,4/10/2019,1,9,2,3,3,5,1,12/7/2002,400.2032767,252.2151954,3,14
438,T2,3/19/2019,1,9,1,0.582076921,2,3,4,3,4/12/2019,1,9,1,2,3,4,3,11/18/2000,400.3034883,244.559932,7,11
439,T2,3/19/2019,1,8,2,0.77891707,3,3,99,99,4/10/2019,1,8,2,3,3,99,99,6/30/2002,401.8920919,247.5123216,9,7
440,T2,3/19/2019,1,99,99,0.355622618,99,99,99,99,4/12/2019,1,99,99,99,99,99,99,12/4/2001,403.3162557,241.9398856,5,11
441,T2,3/19/2019,1,9,1,0.952025198,1,1,5,1,4/10/2019,1,9,1,1,1,5,1,7/15/2002,405.4835411,251.9230152,6,9
649,C,3/5/2019,2,8,99,0.314231873,3,99,4,0,3/21/2019,2,8,2,3,3,4,99,8/22/2002,400.2825705,265.0270778,6,8
650,C,3/5/2019,1,9,1,0.241089139,3,3,5,5,3/21/2019,1,9,1,3,3,5,5,8/30/2002,403.3670511,269.9803913,9,11
651,C,3/5/2019,1,9,1,0.418399814,2,1,4,2,3/21/2019,1,9,1,2,2,4,2,12/22/2001,398.9506227,238.9991894,9,9
652,C,3/5/2019,1,6,2,0.438640581,3,2,4,1,3/21/2019,1,6,2,3,1,4,1,8/14/2001,400.07149,261.9336161,3,6
653,C,3/5/2019,1,99,2,0.474128771,3,2,6,2,4/5/2019,1,6,2,3,3,6,3,1/6/2002,401.3286523,251.2110185,4,10
654,C,3/5/2019,1,99,2,0.975121321,3,3,4,2,4/5/2019,1,99,3,3,3,4,1,9/26/2002,412.2034777,265.0233951,6,13
655,C,3/5/2019,1,8,99,0.823729811,3,3,2,1,3/21/2019,1,8,1,3,3,2,1,4/24/2001,399.2771004,251.1038512,7,8
1569,T1,3/12/2019,1,99,2,0.988582476,3,3,2,2,4/2/2019,1,99,2,3,3,2,2,4/13/2003,400.51179,245.9384102,3,8
1570,T1,3/12/2019,2,8,99,0.201929899,100,100,99,99,4/18/2019,2,7,2,99,3,4,3,12/7/2002,398.5174358,234.9167392,6,8
1571,T1,3/12/2019,1,7,2,0.47728158,3,1,5,4,4/2/2019,1,7,2,3,2,5,4,10/1/2002,403.4751388,259.2909527,3,8
